Deze gegevens mogen vrij worden gebruikt mits de volgende bronvermelding wordt gegeven:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

These data can be used freely provided that the following source is acknowledged:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

MAAND- en JAARGEMIDDELDE TEMPERATUREN (0.1 graden Celsius)
MONTHLY AND YEARLY MEAN TEMPERATURES (0.1 degrees Celsius)

STN = stationsnummer / WMO-number = 06... (235=De Kooy,240=Schiphol,260=De Bilt,270=Leeuwarden,280=Eelde,
      290=Twenthe,310=Vlissingen,344=Rotterdam,370=Eindhoven,380=Maastricht)


STN,YYYY,   JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC,  YEAR
260,1964,     6,    35,    27,    87,   143,   153,   168,   160,   141,    79,    64,    24,    91
260,1965,    28,    21,    43,    77,   119,   147,   149,   153,   128,    99,    27,    45,    86
260,1966,     4,    43,    52,    84,   129,   167,   154,   157,   138,   110,    43,    44,    94
260,1967,    31,    52,    68,    74,   126,   144,   182,   165,   142,   118,    51,    34,    99
260,1968,    21,    15,    62,    93,   110,   154,   163,   171,   144,   117,    49,    -2,    91
260,1969,    44,    -1,    22,    79,   129,   152,   181,   177,   148,   127,    64,   -17,    92
260,1970,     6,    11,    30,    61,   131,   176,   157,   170,   144,   107,    75,    25,    91
260,1971,    23,    38,    27,    81,   137,   139,   172,   171,   133,   105,    57,    54,    95
260,1972,     5,    36,    62,    77,   118,   134,   172,   155,   119,    90,    60,    33,    88
260,1973,    29,    29,    53,    61,   120,   160,   170,   177,   149,    87,    51,    27,    93
260,1974,    52,    46,    56,    91,   116,   148,   154,   164,   127,    70,    65,    73,    97
260,1975,    62,    31,    47,    75,   111,   151,   178,   199,   152,    85,    52,    35,    98
260,1976,    42,    29,    30,    75,   133,   180,   193,   180,   138,   112,    69,    17,   100
260,1977,    30,    49,    71,    67,   119,   146,   170,   161,   134,   115,    68,    50,    98
260,1978,    30,    11,    66,    69,   121,   150,   154,   153,   137,   109,    63,    18,    90
260,1979,   -32,    -9,    47,    78,   115,   149,   159,   156,   139,   109,    56,    54,    85
260,1980,     2,    48,    47,    80,   123,   150,   158,   170,   153,    94,    49,    36,    93
260,1981,    27,    15,    81,    83,   133,   144,   163,   167,   147,    85,    67,    -7,    92
260,1982,    11,    28,    52,    76,   129,   166,   189,   172,   156,   111,    82,    34,   101
260,1983,    62,     9,    57,    85,   106,   164,   201,   181,   142,   104,    61,    38,   101
260,1984,    34,    20,    40,    79,   106,   138,   159,   181,   135,   117,    82,    43,    95
260,1985,   -30,    -6,    41,    85,   132,   137,   174,   159,   144,   103,    26,    57,    85
260,1986,    24,   -36,    42,    62,   133,   164,   172,   156,   116,   114,    79,    51,    90
260,1987,   -27,    21,    23,   107,   102,   138,   168,   162,   148,   108,    68,    44,    89
260,1988,    59,    46,    51,    87,   144,   148,   160,   166,   140,   109,    61,    70,   103
260,1989,    45,    53,    82,    69,   146,   157,   181,   172,   156,   124,    56,    48,   107
260,1990,    57,    76,    85,    89,   139,   150,   169,   185,   131,   120,    62,    42,   109
260,1991,    32,    -8,    88,    85,   100,   127,   190,   180,   150,   102,    53,    39,    95
260,1992,    27,    49,    69,    87,   156,   172,   183,   178,   146,    80,    80,    37,   105
260,1993,    51,    24,    58,   111,   143,   159,   161,   152,   131,    90,    22,    51,    96
260,1994,    52,    15,    73,    82,   124,   150,   214,   176,   136,    94,   102,    53,   106
260,1995,    38,    67,    55,    92,   128,   147,   201,   197,   142,   127,    68,    -9,   104
260,1996,    -1,     6,    32,    94,   107,   157,   163,   173,   125,   108,    59,     6,    86
260,1997,   -12,    62,    80,    78,   128,   160,   174,   205,   143,    97,    67,    50,   103
260,1998,    47,    64,    76,    94,   149,   158,   163,   165,   150,    99,    37,    46,   104
260,1999,    52,    31,    73,    98,   142,   150,   191,   175,   174,   106,    67,    48,   109
260,2000,    43,    59,    68,   100,   147,   160,   155,   174,   158,   113,    78,    51,   109
